LOOKUP COL,RETURN THIS
West Arnhem (R),West Arnhem (R)
West Coast (M),West Coast (M)
West Tamar (M),West Tamar (M)
West Torrens (C),West Torrens (C)
West Wimmera (S),West Wimmera (S)
WEST WIMMERA SHIRE,West Wimmera (S)
Western Downs (R),Western Downs (R)
Whitehorse (C),Whitehorse (C)
WHITEHORSE CITY,Whitehorse (C)
Whitsunday (R),Whitsunday (R)
Whittlesea (C),Whittlesea (C)
WHITTLESEA CITY,Whittlesea (C)
Whyalla (C),Whyalla (C)
Willoughby (C),Willoughby (C)
Wingecarribee (A),Wingecarribee (A)
Wodonga (RC),Wodonga (RC)
WODONGA CITY,Wodonga (RC)
Wollondilly (A),Wollondilly (A)
Wollongong (C),Wollongong (C)
Woollahra (A),Woollahra (A)
Woorabinda (S),Woorabinda (S)
Wudinna (DC),Wudinna (DC)
Wyndham (C),Wyndham (C)
WYNDHAM CITY,Wyndham (C)
Wyndham-East Kimberley (S),Wyndham-East Kimberley (S)
Wyong (A),Wyong (A)
Yankalilla (DC),Yankalilla (DC)
Yarra (C),Yarra (C)
YARRA CITY,Yarra (C)
Yarra Ranges (S),Yarra Ranges (S)
YARRA RANGES SHIRE,Yarra Ranges (S)
Yarriambiack (S),Yarriambiack (S)
YARRIAMBIACK SHIRE,Yarriambiack (S)
Yass Valley (A),Yass Valley (A)
Yorke Peninsula (DC),Yorke Peninsula (DC)
Young (A),Young (A)
