LOOKUP,RETURN,REGION
Guyra (A),Guyra (A),Interstate
Gwydir (A),Gwydir (A),Interstate
Gympie (R),Gympie (R),Interstate
Harden (A),Harden (A),Interstate
Harvey (S),Harvey (S),Interstate
Hawkesbury (C),Hawkesbury (C),Interstate
Hay (A),Hay (A),Interstate
Hepburn (S),Hepburn (S),Regional
HEPBURN SHIRE,Hepburn (S),Regional
Hinchinbrook (S),Hinchinbrook (S),Interstate
Hindmarsh (S),Hindmarsh (S),Regional
HINDMARSH SHIRE,Hindmarsh (S),Regional
Hobart (C),Hobart (C),Interstate
Hobsons Bay (C),Hobsons Bay (C),Metro
HOBSONS BAY CITY,Hobsons Bay (C),Metro
Holdfast Bay (C),Holdfast Bay (C),Interstate
Holroyd (C),Holroyd (C),Interstate
Hornsby (A),Hornsby (A),Interstate
Horsham (RC),Horsham (RC),Regional
HORSHAM RURAL CITY,Horsham (RC),Regional
Hume (C),Hume (C),Metro
HUME CITY,Hume (C),Metro
Hunters Hill (A),Hunters Hill (A),Interstate
Huon Valley (M),Huon Valley (M),Interstate
Hurstville (C),Hurstville (C),Interstate
Indigo (S),Indigo (S),Regional
INDIGO SHIRE,Indigo (S),Regional
Interstate,Interstate,Interstate
Inverell (A),Inverell (A),Interstate
Ipswich (C),Ipswich (C),Interstate
Isaac (R),Isaac (R),Interstate
Jerilderie (A),Jerilderie (A),Interstate
Joondalup (C),Joondalup (C),Interstate
Junee (A),Junee (A),Interstate
Kalamunda (S),Kalamunda (S),Interstate
Kalgoorlie/Boulder (C),Kalgoorlie/Boulder (C),Interstate
Kangaroo Island (DC),Kangaroo Island (DC),Interstate
Karratha (C),Karratha (C),Interstate
Katanning (S),Katanning (S),Interstate
Katherine (T),Katherine (T),Interstate
Kempsey (A),Kempsey (A),Interstate
Kentish (M),Kentish (M),Interstate
Kiama (A),Kiama (A),Interstate
King Island (M),King Island (M),Interstate
Kingborough (M),Kingborough (M),Interstate
Kingston (C),Kingston (C),Metro
Kingston (DC),Kingston (DC),Interstate
KINGSTON CITY,Kingston (C),Metro
Knox (C),Knox (C),Metro
KNOX CITY,Knox (C),Metro
Kogarah (C),Kogarah (C),Interstate
Ku-ring-gai (A),Ku-ring-gai (A),Interstate
Kwinana (C),Kwinana (C),Interstate
Kyogle (A),Kyogle (A),Interstate
Lachlan (A),Lachlan (A),Interstate
Lake Macquarie (C),Lake Macquarie (C),Interstate
Lane Cove (A),Lane Cove (A),Interstate
Latrobe (C),Latrobe (C),Regional
Latrobe (M),Latrobe (M),Interstate
LATROBE CITY,Latrobe (C),Regional
Launceston (C),Launceston (C),Interstate
Leeton (A),Leeton (A),Interstate
Leichhardt (A),Leichhardt (A),Interstate
Light (RegC),Light (RegC),Interstate
Lismore (C),Lismore (C),Interstate
Litchfield (M),Litchfield (M),Interstate
Lithgow (C),Lithgow (C),Interstate
Liverpool (C),Liverpool (C),Interstate
Liverpool Plains (A),Liverpool Plains (A),Interstate
Livingstone (S),Livingstone (S),Interstate
Lockhart (A),Lockhart (A),Interstate
Lockyer Valley (R),Lockyer Valley (R),Interstate
Loddon (S),Loddon (S),Regional
LODDON SHIRE,Loddon (S),Regional
Logan (C),Logan (C),Interstate
Longreach (R),Longreach (R),Interstate
Lower Eyre Peninsula (DC),Lower Eyre Peninsula (DC),Interstate
Loxton Waikerie (DC),Loxton Waikerie (DC),Interstate
MacDonnell (R),MacDonnell (R),Interstate
Macedon Ranges (S),Macedon Ranges (S),Regional
MACEDON RANGES SHIRE,Macedon Ranges (S),Regional
Mackay (R),Mackay (R),Interstate
Maitland (C),Maitland (C),Interstate
Mallala (DC),Mallala (DC),Interstate
Mandurah (C),Mandurah (C),Interstate
Manjimup (S),Manjimup (S),Interstate
Manly (A),Manly (A),Interstate
Manningham (C),Manningham (C),Metro
MANNINGHAM CITY,Manningham (C),Metro
Mansfield (S),Mansfield (S),Regional
MANSFIELD SHIRE,Mansfield (S),Regional
Maranoa (R),Maranoa (R),Interstate
Mareeba (S),Mareeba (S),Interstate
Maribyrnong (C),Maribyrnong (C),Metro
MARIBYRNONG CITY,Maribyrnong (C),Metro
Marion (C),Marion (C),Interstate
Maroondah (C),Maroondah (C),Metro
